case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-item-002-crude-helmet	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2405	2402	-	3/100/5398	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-6386-7000-8000-00109175f047?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-6386-7000-8000-00109175f047?poll=true	-
fh-character-ability-banner-spear-at-all-costs	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		5422	5418	-	7/272/14223	5306	0.0500	0.0041	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-730e-7000-8000-0312fb6ab775?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-730e-7000-8000-0312fb6ab775?poll=true	-
fh-item-007-crude-bow	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1921	1920	-	3/100/5398	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-8db7-7000-8000-0158dbf8beed?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-8db7-7000-8000-0158dbf8beed?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3694	3690	-	6/154/7420	0	0.0500	0.0023	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-9a1a-7000-8000-01db0be33f6b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-9a1a-7000-8000-01db0be33f6b?poll=true	-
fh-character-ability-astral-boon-of-the-tempest	frosthaven	table-qa	character-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	0.8	pass		6379	6376	-	7/307/14258	5309	0.0500	0.0046	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-abae-7000-8000-019ac672143d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-abae-7000-8000-019ac672143d?poll=true	-
fh-monster-ability-algox-snowspeaker-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8509	4679	-	7/325/17621	5310	0.0500	0.0049	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-caba-7000-8000-00ec7f4fd6c2?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-caba-7000-8000-00ec7f4fd6c2?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		3512	3511	-	3/83/5387	0	0.0500	0.0013	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-f2a6-7000-8000-00050f28b9a3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe6-f2a6-7000-8000-00050f28b9a3?poll=true	-
fh-item-010-crude-shield	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1906	1905	-	3/99/5396	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-04bf-7000-8000-0272cc322db3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-04bf-7000-8000-0272cc322db3?poll=true	-
fh-monster-ability-algox-icespeaker-warding-swipe	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		15246	12319	-	9/685/45178	21563	0.0500	0.0103	3	0	4	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-133a-7000-8000-026209d8630f?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-133a-7000-8000-026209d8630f?poll=true	-
fh-monster-algox-guard-normal-level-0	frosthaven	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1948	1945	-	3/98/5399	0	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-5347-7000-8000-01f50d6b8d4d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/25531ddc-eafa-4f5a-bdd1-294aeeda92a5/r/019f2fe7-5347-7000-8000-01f50d6b8d4d?poll=true	-
