case	game	suite	category	question_class	lane	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	judge_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-mat-banner-spear	frosthaven	table-qa	character-mats	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7914	4867	-	956/273/8493	0	0.0500	0.0315	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-1301-7000-8000-03b44162f7a3?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-1301-7000-8000-03b44162f7a3?poll=true	-
fh-scenario-4a-heart-of-ice-a	frosthaven	table-qa	scenarios	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7780	7776	-	835/432/8323	6170	0.0500	0.0115	0.0021	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-36d9-7000-8000-0269ebb1f87b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-36d9-7000-8000-0269ebb1f87b?poll=true	-
fh-monster-algox-icespeaker-normal-level-2	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2232	1592	-	3369/62/3431	0	0.0500	0.0037	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-5e69-7000-8000-02be2fd1e9f6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-5e69-7000-8000-02be2fd1e9f6?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1933	1044	-	3648/57/3705	0	0.0500	0.0039	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-6cc4-7000-8000-03b1c164448b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-6cc4-7000-8000-03b1c164448b?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2496	1484	pass	3117/77/3194	0	0.0500	0.0035	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-7a21-7000-8000-030a8807d36e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-7a21-7000-8000-030a8807d36e?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		2398	1055	-	2782/109/2891	0	0.0500	0.0033	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-8c54-7000-8000-002038afc678?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-8c54-7000-8000-002038afc678?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2409	1191	-	5615/82/5697	0	0.0500	0.0060	0.0016	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-9de3-7000-8000-03194f766d2b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-9de3-7000-8000-03194f766d2b?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2053	1015	-	3637/85/3722	0	0.0500	0.0041	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-b1cf-7000-8000-02e475066c5d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-b1cf-7000-8000-02e475066c5d?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1652	1063	pass	4848/53/4901	0	0.0500	0.0051	0.0016	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-c165-7000-8000-030f2fe1f6ca?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-c165-7000-8000-030f2fe1f6ca?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1691	997	-	2173/45/2218	0	0.0500	0.0024	0.0012	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-cf91-7000-8000-0149c30ec7da?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-cf91-7000-8000-0149c30ec7da?poll=true	-
fh-item-011-simple-charm	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2377	1369	-	2862/60/2922	0	0.0500	0.0032	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-da8c-7000-8000-0021d28be820?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-da8c-7000-8000-0021d28be820?poll=true	-
fh-multihop-scenario-17-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	fast	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2474	1723	pass	5951/50/6001	0	0.0500	0.0062	0.0013	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-ea92-7000-8000-008c0835f94d?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/f38831b4-3dec-4230-81a3-f4ed8b0cefe3/r/019f4939-ea92-7000-8000-008c0835f94d?poll=true	-
