case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
rule-scenario-level	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		24954	14125	-	7/1192/22322	21123	0.0500	0.0179	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-3752-7000-8000-01e9e2582b76?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-3752-7000-8000-01e9e2582b76?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		3189	3188	-	3/95/5555	5457	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-9df5-7000-8000-0327980a4c40?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-9df5-7000-8000-0327980a4c40?poll=true	-
fh-scenario-7-edge-of-the-world	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2163	2160	-	3/95/5555	5457	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-b3fc-7000-8000-0075fb1c8dfa?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-b3fc-7000-8000-0075fb1c8dfa?poll=true	-
fh-monster-ability-algox-snowspeaker-trap-solo-blinding-vortex	frosthaven	table-qa	monster-abilities	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8951	6273	-	7/376/18186	17803	0.0500	0.0056	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-c2e7-7000-8000-0063daffdc69?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-c2e7-7000-8000-0063daffdc69?poll=true	-
fh-battle-goal-accountant	frosthaven	table-qa	battle-goals	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		4086	4083	-	6/152/7753	7595	0.0500	0.0023	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-ead0-7000-8000-00607e6f14aa?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-ead0-7000-8000-00607e6f14aa?poll=true	-
drifter-ignore-negative-item-effects-correction	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10616	10613	-	6/175/8246	8065	0.0500	0.0026	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-ffcd-7000-8000-011532c461cc?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d0-ffcd-7000-8000-011532c461cc?poll=true	-
fh-scenario-8-crystal-trench	frosthaven	table-qa	scenarios	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2254	2253	-	3/95/5555	5457	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-2f36-7000-8000-0162390e769c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-2f36-7000-8000-0162390e769c?poll=true	-
fh-character-mat-blinkblade	frosthaven	table-qa	character-mats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	tool	1	pass		18954	15089	-	13/787/47384	36622	0.0500	0.0118	5	0	6	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-3dc3-7000-8000-039ac1f6e3e8?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-3dc3-7000-8000-039ac1f6e3e8?poll=true	-
rule-advantage	frosthaven	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		25798	15904	-	7/1002/21963	20954	0.0500	0.0150	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-91e7-7000-8000-024473a5fa9e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-91e7-7000-8000-024473a5fa9e?poll=true	-
fh-item-011-simple-charm	frosthaven	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2687	2685	-	3/99/5544	5442	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-fd87-7000-8000-038c0a3df7ed?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/2c9e645c-87d4-4d5c-94a9-6f550b955172/r/019f32d1-fd87-7000-8000-038c0a3df7ed?poll=true	-
