case	game	suite	category	source_authority	game_pair	runtime_model	pass	failure_class	score	latency_ms	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
gh2-rule-advantage	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	28410	8/992/72762	17799	0.0500	0.0149	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e21-a955-7000-8000-00f667067054?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e21-a955-7000-8000-00f667067054?poll=true	-
gh2-item-weathered-boots	gloomhaven-2e	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	8336	9/311/7826	2641	0.0500	0.0047	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-1fb6-7000-8000-03bdd95697c7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-1fb6-7000-8000-03bdd95697c7?poll=true	-
gh2-item-scouting-lens	gloomhaven-2e	table-qa	items	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	8623	9/319/7829	2635	0.0500	0.0048	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-4a45-7000-8000-01cd24a5d85a?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-4a45-7000-8000-01cd24a5d85a?poll=true	-
gh2-tool-free-assistant-game	gloomhaven-2e	table-qa	tool-free	application		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	1798	3/39/2676	0	0.0500	0.0006	0	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-713a-7000-8000-02c84ed1ef18?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-713a-7000-8000-02c84ed1ef18?poll=true	-
gh2-rule-looting-definition	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	23778	8/748/72405	17788	0.0500	0.0112	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-7d61-7000-8000-02a4077835c6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-7d61-7000-8000-02a4077835c6?poll=true	-
gh2-faq-red-hex-aoe-targets	gloomhaven-2e	table-qa	rulebook	faq		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	22385	8/631/72311	17789	0.0500	0.0095	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-e171-7000-8000-00000ed1b113?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e22-e171-7000-8000-00000ed1b113?poll=true	-
gh2-section-67-1	gloomhaven-2e	table-qa	scenarios	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	7192	6/378/5338	0	0.0500	0.0057	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e23-4821-7000-8000-003f9edb948b?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e23-4821-7000-8000-003f9edb948b?poll=true	-
gh2-rule-long-rest-steps	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	21234	8/733/72421	17805	0.0500	0.0110	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e23-69bd-7000-8000-02469716e930?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e23-69bd-7000-8000-02469716e930?poll=true	-
gh2-rule-wound	gloomhaven-2e	table-qa	rulebook	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.2	25643	8/607/72245	17785	0.0500	0.0091	2	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e23-c394-7000-8000-00568aa89c13?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e23-c394-7000-8000-00568aa89c13?poll=true	-
gh2-monster-bandit-scout	gloomhaven-2e	table-qa	monster-stats	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	8087	9/313/9443	2640	0.0500	0.0047	2	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e24-2e06-7000-8000-03b4551ba928?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c47b76b3-64be-4d6a-bda0-6c20610f52db/r/019e7e24-2e06-7000-8000-03b4551ba928?poll=true	-
