case	game	suite	category	question_class	lane	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	judge_cost_usd	tools	retries	loops	trace	langsmith_trace	error
fh-character-mat-banner-spear	frosthaven	table-qa	character-mats	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		9041	5339	-	956/251/8471	0	0.0500	0.0312	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4717-d274-7000-8000-00826de45030?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4717-d274-7000-8000-00826de45030?poll=true	-
fh-scenario-4a-heart-of-ice-a	frosthaven	table-qa	scenarios	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		8124	8119	-	835/393/8284	6170	0.0500	0.0110	0.0019	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4717-fe45-7000-8000-02dadd1ed0f7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4717-fe45-7000-8000-02dadd1ed0f7?poll=true	-
fh-monster-algox-icespeaker-normal-level-2	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2225	1339	-	3369/62/3431	0	0.0500	0.0037	0.0016	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-2691-7000-8000-0327cc7e411e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-2691-7000-8000-0327cc7e411e?poll=true	-
fh-item-003-traveling-cloak	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2701	1823	-	3537/59/3596	0	0.0500	0.0038	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-3a0b-7000-8000-01b411b75a62?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-3a0b-7000-8000-01b411b75a62?poll=true	-
building-mining-camp-level-1	frosthaven	table-qa	buildings	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2085	1104	pass	3117/77/3194	0	0.0500	0.0035	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-4c98-7000-8000-014e9a979b36?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-4c98-7000-8000-014e9a979b36?poll=true	-
fh-character-ability-boneshaper-life-in-death	frosthaven	table-qa	character-abilities	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	fail	answer_quality	0.6	pass		3051	1411	-	2782/121/2903	0	0.0500	0.0034	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-5fb0-7000-8000-00d4a89a03a7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-5fb0-7000-8000-00d4a89a03a7?poll=true	-
fh-scenario-6-avalanche	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2415	1573	-	5615/76/5691	0	0.0500	0.0060	0.0015	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-74c3-7000-8000-0357381dc721?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-74c3-7000-8000-0357381dc721?poll=true	-
fh-item-008-crude-spear	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2449	1567	-	3637/68/3705	0	0.0500	0.0040	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-8527-7000-8000-008377c65de6?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-8527-7000-8000-008377c65de6?poll=true	-
scenario-7-edge-world-unlocks	frosthaven	table-qa	scenarios	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1732	1114	pass	4848/43/4891	0	0.0500	0.0051	0.0014	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-9795-7000-8000-0100723c59ca?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-9795-7000-8000-0100723c59ca?poll=true	-
fh-battle-goal-acrobat	frosthaven	table-qa	battle-goals	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2865	2382	-	2173/47/2220	0	0.0500	0.0024	0.0012	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-a57f-7000-8000-02822cd1b173?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-a57f-7000-8000-02822cd1b173?poll=true	-
fh-item-011-simple-charm	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2632	1413	-	2862/62/2924	0	0.0500	0.0032	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-b5d2-7000-8000-00778c8bcb63?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-b5d2-7000-8000-00778c8bcb63?poll=true	-
fh-multihop-scenario-17-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	fast	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2091	1195	pass	5951/54/6005	0	0.0500	0.0062	0.0015	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-c8ba-7000-8000-00118249ca33?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-c8ba-7000-8000-00118249ca33?poll=true	-
fh-multihop-scenario-23-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	fast	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2102	1275	pass	4842/55/4897	0	0.0500	0.0051	0.0014	4	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-d85f-7000-8000-03369277e0d1?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-d85f-7000-8000-03369277e0d1?poll=true	-
fh-monster-algox-guard-normal-level-0	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1570	1081	-	3662/45/3707	0	0.0500	0.0039	0.0013	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-e7af-7000-8000-0106c44472a7?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-e7af-7000-8000-0106c44472a7?poll=true	-
fh-item-006-flexible-slippers	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		2196	1153	-	3797/84/3881	0	0.0500	0.0042	0.0017	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-f2fd-7000-8000-00fa87033fe4?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4718-f2fd-7000-8000-00fa87033fe4?poll=true	-
fh-monster-abael-warlord-normal-level-5	frosthaven	table-qa	monster-stats	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		7176	1688	-	3072/76/3148	0	0.0500	0.0035	0.0014	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-063b-7000-8000-0057afaf774c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-063b-7000-8000-0057afaf774c?poll=true	-
fh-personal-quest-581-the-study-of-plants	frosthaven	table-qa	personal-quests	exact-lookup	deep	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	0.8	pass		15013	8897	-	826/545/14094	11401	0.0500	0.0170	0.0020	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-2aa3-7000-8000-02e6550df7a5?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-2aa3-7000-8000-02e6550df7a5?poll=true	-
fh-item-001-spyglass	frosthaven	table-qa	items	exact-lookup	fast	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2462	1373	-	3648/67/3715	0	0.0500	0.0040	0.0015	2	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-7028-7000-8000-00e093b3a459?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/04a46924-24dd-4991-8f12-4f6de533722a/r/019f4719-7028-7000-8000-00e093b3a459?poll=true	-
