case	game	suite	category	question_class	source_authority	game_pair	runtime_model	pass	failure_class	score	groundedness	groundedness_failures	latency_ms	first_answer_token_ms	latency_budget	tokens	cached_input_tokens	guardrail_cost_usd	provider_cost_usd	tools	retries	loops	trace	langsmith_trace	error
monster-living-bones-immunity	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		10866	4533	-	7/215/15195	14973	0.0500	0.0032	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-7e26-7000-8000-000822b67d6c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-7e26-7000-8000-000822b67d6c?poll=true	-
fh-rule-exhaustion-active-cards	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		9743	6114	fail	7/385/16930	16538	0.0500	0.0058	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-ade1-7000-8000-025f1552bcce?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-ade1-7000-8000-025f1552bcce?poll=true	-
fh-item-011-simple-charm	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1802	1801	-	3/99/5555	5453	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-dbab-7000-8000-00659786c070?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-dbab-7000-8000-00659786c070?poll=true	-
fh-character-mat-coral	frosthaven	table-qa	character-mats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1789	1788	-	3/96/5569	5470	0.0500	0.0014	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-e98c-7000-8000-03da8d66f888?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-e98c-7000-8000-03da8d66f888?poll=true	-
rule-brittle	frosthaven	table-qa	rulebook	rules-synthesis	rulebook		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		13307	8047	-	7/493/20373	19873	0.0500	0.0074	1	0	2	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-f42e-7000-8000-02d1b289dc0e?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347d-f42e-7000-8000-02d1b289dc0e?poll=true	-
fh-item-007-crude-bow	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1817	1815	-	3/100/5557	5454	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-2eaf-7000-8000-03af062fac50?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-2eaf-7000-8000-03af062fac50?poll=true	-
fh-item-002-crude-helmet	frosthaven	table-qa	items	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		1770	1768	-	3/100/5557	5454	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-3c22-7000-8000-021042bd7818?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-3c22-7000-8000-021042bd7818?poll=true	-
fh-multihop-scenario-17-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		9835	9832	fail	12/409/23134	16677	0.0500	0.0061	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-492b-7000-8000-03ccabbd2e39?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-492b-7000-8000-03ccabbd2e39?poll=true	-
fh-monster-algox-icespeaker-elite-level-7	frosthaven	table-qa	monster-stats	exact-lookup	structured-data		langgraph:anthropic:claude-sonnet-4-6	pass	none	1	pass		2053	2051	-	3/103/5567	5461	0.0500	0.0015	1	0	1	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-7803-7000-8000-02df5d8ae61c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-7803-7000-8000-02df5d8ae61c?poll=true	-
fh-multihop-scenario-10-conclusion-unlock	frosthaven	table-qa	scenarios	multi-hop	scenario-section-books		langgraph:anthropic:claude-sonnet-4-6	fail	latency_budget	1	pass		11102	11099	fail	12/661/23693	18549	0.0500	0.0099	3	0	3	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-8590-7000-8000-01d62f927d9c?poll=true	https://smith.langchain.com/o/44be4d80-ba50-4833-ae22-6e176be2dbf2/projects/p/c48781b7-3466-4b49-b39b-7212501d7a59/r/019f347e-8590-7000-8000-01d62f927d9c?poll=true	-
